Study,BioProject,Sample
Mayfield2014,PRJNA227785,SRR1030692
Mayfield2014,PRJNA227785,SRR1030693
Mayfield2014,PRJNA227785,SRR1030694
Vidal-Dupiol2014,PRJNA219439,SRR988670
Vidal-Dupiol2014,PRJNA219439,SRR988671
Vidal-Dupiol2014,PRJNA219439,SRR988672
Yuan2017,PRJNA299443,SRR2912663
Yuan2017,PRJNA299443,SRR2912664
Yuan2017,PRJNA299443,SRR2912665
Yuan2017,PRJNA299443,SRR2912669
Zhou2017,PRJNA327142,SRR3727281
Zhou2017,PRJNA327142,SRR3727374
Zhou2017,PRJNA327142,SRR3727379
Zhou2017,PRJNA327142,SRR3727380
Zhou2017,PRJNA327142,SRR3727383
Zhou2017,PRJNA327142,SRR3727387
Zhou2017,PRJNA327142,SRR3727388
Zhou2017,PRJNA327142,SRR3727390
Zhou2017,PRJNA327142,SRR3727400
Zhou2017,PRJNA327142,SRR3727418
Zhou2018,PRJNA401251,SRR6001268
Zhou2018,PRJNA401251,SRR6001269
Zhou2018,PRJNA401251,SRR6001270
Zhou2018,PRJNA401251,SRR6001271
Zhou2018,PRJNA401251,SRR6001272
Zhou2018,PRJNA401251,SRR6001273
Zhou2019,PRJNA401251,SRR6784730
Zhou2019,PRJNA401251,SRR6784731
Zhou2019,PRJNA401251,SRR6784732
Zhou2019,PRJNA401251,SRR6784733
Zhou2019,PRJNA401251,SRR6784734
Zhou2019,PRJNA401251,SRR6784735
Poquita-Du2019,PRJNA435468,SRR6881951
Poquita-Du2019,PRJNA435468,SRR6881952
Poquita-Du2019,PRJNA435468,SRR6881953
Poquita-Du2019,PRJNA435468,SRR6906282
Poquita-Du2019,PRJNA435468,SRR6906283
Poquita-Du2019,PRJNA435468,SRR6906284
Poquita-Du2019,PRJNA435468,SRR6906302
Poquita-Du2019,PRJNA435468,SRR6906303
Poquita-Du2019,PRJNA435468,SRR6906304
Poquita-Du2019,PRJNA435468,SRR6906456
Poquita-Du2019,PRJNA435468,SRR6906457
Poquita-Du2019,PRJNA435468,SRR6906458
Poquita-Du2019,PRJNA435468,SRR6914151
Poquita-Du2019,PRJNA435468,SRR6914609
Poquita-Du2019,PRJNA435468,SRR6914908
Poquita-Du2019,PRJNA435468,SRR6934388
Poquita-Du2019,PRJNA435468,SRR6934542
Poquita-Du2019,PRJNA435468,SRR6935629
Poquita-Du2019,PRJNA435468,SRR6942678
Poquita-Du2019,PRJNA435468,SRR6942729
Poquita-Du2019,PRJNA435468,SRR6951423
Poquita-Du2019,PRJNA435468,SRR6951744
Poquita-Du2019,PRJNA435468,SRR6952431
Poquita-Du2019,PRJNA435468,SRR6963586
Poquita-Du2019,PRJNA435468,SRR6963878
Poquita-Du2019,PRJNA435468,SRR6963891
Poquita-Du2019,PRJNA435468,SRR6964364
Poquita-Du2019,PRJNA435468,SRR6986864
Poquita-Du2019,PRJNA435468,SRR6987146
Poquita-Du2019,PRJNA435468,SRR7039808
Poquita-Du2019,PRJNA435468,SRR7040514
Poquita-Du2019,PRJNA435468,SRR7041301
Poquita-Du2019,PRJNA435468,SRR7042978
Poquita-Du2019,PRJNA435468,SRR7043013
Poquita-Du2019,PRJNA435468,SRR7043704
Poquita-Du2019,PRJNA435468,SRR7046161
Poquita-Du2019,PRJNA435468,SRR7055829
Poquita-Du2019,PRJNA435468,SRR7058378
Poquita-Du2019,PRJNA435468,SRR7058566
Poquita-Du2019,PRJNA435468,SRR7058606
Poquita-Du2019,PRJNA435468,SRR7058616
Poquita-Du2019,PRJNA435468,SRR7059699
Poquita-Du2019,PRJNA435468,SRR7062295
Poquita-Du2019,PRJNA435468,SRR7062350